Time,Unix Time,CPU Utilization (%),RAM Utilization (MB)
2023-09-13 10:56:29,1694595389,3.2,375.25
2023-09-13 10:56:30,1694595390,3.4,375.453
2023-09-13 10:56:31,1694595391,4.0,375.641
2023-09-13 10:56:33,1694595393,6.3,375.844
2023-09-13 10:56:34,1694595394,5.3,376.047
2023-09-13 10:56:35,1694595395,3.2,376.25
2023-09-13 10:56:36,1694595396,2.3,376.547
2023-09-13 10:56:37,1694595397,2.4,376.75
2023-09-13 10:56:38,1694595398,5.8,376.953
2023-09-13 10:56:39,1694595399,5.5,377.141
2023-09-13 10:56:40,1694595400,4.5,377.359
2023-09-13 10:56:41,1694595401,4.5,377.578
2023-09-13 10:56:42,1694595402,3.5,377.875
2023-09-13 10:56:43,1694595404,7.0,378.062
2023-09-13 10:56:45,1694595405,8.9,378.266
2023-09-13 10:56:46,1694595406,6.8,378.469
2023-09-13 10:56:47,1694595407,3.6,378.672
2023-09-13 10:56:48,1694595408,4.0,379.219
2023-09-13 10:56:49,1694595409,3.0,379.406
2023-09-13 10:56:50,1694595410,9.1,379.594
2023-09-13 10:56:51,1694595411,7.7,379.781
2023-09-13 10:56:52,1694595412,3.7,379.969
2023-09-13 10:56:53,1694595413,5.2,380.172
2023-09-13 10:56:54,1694595414,3.2,385.422
2023-09-13 10:56:56,1694595416,4.1,385.609
2023-09-13 10:56:57,1694595417,5.7,385.828
2023-09-13 10:56:58,1694595418,7.8,386.031
2023-09-13 10:56:59,1694595419,5.2,386.219
2023-09-13 10:57:00,1694595420,3.6,386.531
2023-09-13 10:57:01,1694595421,3.6,386.766
2023-09-13 10:57:02,1694595422,1.7,386.953
2023-09-13 10:57:03,1694595423,7.9,387.141
2023-09-13 10:57:04,1694595424,4.9,387.328
2023-09-13 10:57:05,1694595425,4.4,387.531
2023-09-13 10:57:07,1694595427,2.9,387.828
2023-09-13 10:57:08,1694595428,2.6,388.047
2023-09-13 10:57:09,1694595429,8.5,388.25
2023-09-13 10:57:10,1694595430,7.3,388.438
2023-09-13 10:57:11,1694595431,4.9,388.641
2023-09-13 10:57:12,1694595432,3.7,388.984
2023-09-13 10:57:13,1694595433,2.6,389.172
2023-09-13 10:57:14,1694595434,4.6,389.375
2023-09-13 10:57:15,1694595435,9.6,389.578
2023-09-13 10:57:16,1694595436,10.7,389.766
2023-09-13 10:57:18,1694595438,7.4,389.984
2023-09-13 10:57:19,1694595439,5.9,394.891
2023-09-13 10:57:20,1694595440,6.4,395.125
2023-09-13 10:57:21,1694595441,4.7,395.312
2023-09-13 10:57:22,1694595442,12.8,395.516
2023-09-13 10:57:23,1694595443,8.7,395.719
2023-09-13 10:57:24,1694595444,4.6,395.906
2023-09-13 10:57:25,1694595445,5.3,396.203
2023-09-13 10:57:26,1694595446,4.7,396.391
2023-09-13 10:57:27,1694595447,3.0,396.578
2023-09-13 10:57:29,1694595449,7.1,396.766
2023-09-13 10:57:30,1694595450,6.0,396.969
2023-09-13 10:57:31,1694595451,7.1,397.266
2023-09-13 10:57:32,1694595452,3.8,397.453
2023-09-13 10:57:33,1694595453,3.9,397.641
